chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0.278663784,0.093744479,0.239527568,0.009430886,2289.672714,988810.9306,2717.878817,364883.1066,5357.164828,5687604.08,0.081445275,0.004557658,0.311701804,0.0802247,89.10290948,-91.94007874,4158.055176,95.98471069,952.4202271,12.10572243,506.7663879,14.74516964,318.4867859,21.52261925,201.6492157,1.129864931,241.0403748,3.48120141,130.966156,6.608895302,138.8099213,-3.016405106,114.7650452,0.146322995,100.2067337,-8.219339371,91.17617035,-0.924544394,88.06984711,-4.622574806,104.685463,2.049819946,102.8066711,-4.21687603,130.8278198,8.143770218,162.3108215,-0.738719285,166.4334412,8.785181999,161.9165344,-3.681051731,112.9313889,3.543319941,130.7582245
0.29256621,0.086078398,0.249013677,0.003854727,1846.13948,381706.3383,2090.560495,219070.6451,3739.191279,2200334.08,0.085821477,0.001498778,0.390110523,0.075113557,135.9991776,-55.67196274,2388.376221,115.2818375,834.6394043,-13.84036636,369.319519,24.98298073,230.4686584,3.852541685,273.9214478,12.11303139,115.1136703,-4.879349709,177.0514526,1.006892443,94.3719635,-2.871377945,110.2360611,3.470746994,145.6055756,-4.006253242,157.7360687,-0.96137017,78.83377838,-3.22110796,68.75576019,0.126886293,101.1299057,1.175734758,88.51881409,1.425982356,118.7554626,-8.425970078,100.4828796,3.705032825,86.4723587,-8.669065475,91.87320709,-4.820532322,87.17971039
0.375913292,0.086994052,0.171773911,0.006735234,2185.629552,482445.5826,2473.37737,207992.8659,4901.666194,2483937.533,0.090315151,0.002601913,0.461800724,0.064445198,129.1992188,-90.96746063,6687.120117,94.01073456,763.6248779,8.580161095,534.6387939,32.9085083,335.3602905,6.181486607,150.9100494,15.11153603,94.01707458,-0.401579887,86.45516968,9.438589096,56.01652527,0.284511507,83.87459564,6.747602463,75.72386932,1.63968277,81.09910583,3.514842987,46.93268967,-4.708789825,56.88180161,3.26544261,36.27754211,-4.91072464,47.87470245,0.806213319,37.75119019,-6.504737854,43.53386688,0.276229441,42.84407425,-2.874391794,54.4095459,0.301961392,49.47005081
0.311184049,0.089783028,0.26697436,0.00848258,2042.215753,438318.9014,2415.801483,264758.9656,4561.405751,3004961.009,0.081840208,0.001819709,0.429397345,0.074192256,123.046875,-41.55224228,5533.571777,109.2082596,758.6651001,4.105336189,453.8989868,17.2966404,276.5875854,6.496175289,183.7991791,5.022035122,81.59612274,1.872453094,92.34313965,4.753396988,86.43632507,-9.225536346,87.7274704,9.031606674,85.0436554,-6.606616974,73.88412476,6.877554893,50.27378464,-3.3115592,48.7321167,1.67810607,54.37393951,1.490994453,44.45801926,3.695472479,42.08174133,-6.019499302,58.08605194,4.580683708,42.5026207,-6.362637043,49.18656158,1.334205031,45.69193268
0.29256621,0.086078398,0.249013677,0.003854727,1846.13948,381706.3383,2090.560495,219070.6451,3739.191279,2200334.08,0.085821477,0.001498778,0.390110523,0.075113557,135.9991776,-55.67196274,2388.376221,115.2818375,834.6394043,-13.84036636,369.319519,24.98298073,230.4686584,3.852541685,273.9214478,12.11303139,115.1136703,-4.879349709,177.0514526,1.006892443,94.3719635,-2.871377945,110.2360611,3.470746994,145.6055756,-4.006253242,157.7360687,-0.96137017,78.83377838,-3.22110796,68.75576019,0.126886293,101.1299057,1.175734758,88.51881409,1.425982356,118.7554626,-8.425970078,100.4828796,3.705032825,86.4723587,-8.669065475,91.87320709,-4.820532322,87.17971039
0.248100668,0.08919692,0.239750817,0.008250355,1683.495548,305835.8178,1988.813549,163571.9985,3302.320309,1623503.626,0.075053527,0.0013034,0.265953451,0.084549688,83.35433468,-100.940918,4650.777832,115.2610474,739.7507324,-9.128239632,319.4829102,26.19852829,379.2868958,-1.73624146,138.9837799,-1.826558828,184.6303558,0.634306967,157.4060059,-4.007214546,107.1758575,-4.31558466,128.0414429,4.394546032,156.4051971,-7.438238621,90.48645782,1.435684085,87.93680573,-4.833892345,61.93264771,0.958115399,87.01836395,-7.586723804,70.19072723,-0.344498873,92.15361786,-1.503217816,119.4907913,2.758005381,189.5054779,3.456914902,159.2778168,7.790364265,176.0157776
0.272754848,0.089658104,0.198531106,0.008981618,2122.710337,644220.5865,2443.353736,365989.5471,4786.500223,4148727.705,0.079762556,0.001909863,0.36783421,0.086416312,135.9991776,-101.2627563,6597.923828,98.11238861,1058.330444,4.797687054,508.4069519,17.96515465,260.679657,7.71494627,158.8177948,6.171223164,192.2065735,-8.453289986,184.3361969,3.585519314,125.978157,-2.995014429,101.1033554,2.735034704,132.0333862,-1.91654706,107.444191,4.492564201,74.72705078,-3.432468653,81.28398895,5.565006733,97.98590851,-8.265525818,132.7758636,-0.936676204,75.54286194,-10.12582111,74.44572449,-0.628910184,95.83233643,-8.288229942,82.18789673,-3.407238007,109.9329834
0.250847429,0.09026096,0.246158034,0.009103598,1551.694154,485690.1704,1995.936678,419840.5019,3312.520247,3283863.926,0.062909924,0.001434605,0.334596187,0.08672037,95.703125,-116.7166672,5934.866211,125.8115463,1229.347412,10.21815586,494.452301,24.70164871,219.9202271,6.5370965,174.5892639,4.285363197,215.5605927,-11.73686123,222.3029022,1.132761002,148.6365814,-8.181331635,98.037117,-2.571873188,128.3054047,-5.756727219,128.3616028,-3.030673504,132.1706085,-6.147591114,108.2030258,0.515794754,123.1538162,-2.133817196,108.5255203,4.113895416,95.5177536,-12.45457554,183.703064,4.761624336,93.82505035,-8.11797905,135.9493713,-2.137514353,112.3262863
0.350162417,0.091400549,0.173217312,0.009800862,2350.828001,483138.6799,2340.777562,303928.6159,4925.332717,2317273.088,0.109437547,0.00228969,0.470487624,0.082022548,117.4538352,-90.83807373,14763.57129,82.69924164,710.5248413,-13.03929043,554.9229736,29.45454407,325.59552,3.745112181,200.3316956,6.494458199,165.1169128,-1.191636324,187.0965729,5.555763245,133.085907,1.571602583,106.3496552,3.855323076,84.15808105,-3.510290861,61.2872467,3.676156759,77.31192017,-4.13231945,67.91441345,-3.361895323,78.87078857,-6.347788811,71.91808319,1.449238777,95.87873077,-5.422833443,73.23936462,0.514221013,81.6837616,-2.538697243,58.53689194,-3.338400602,60.45879364
0.392943621,0.095133156,0.274113387,0.008744105,2021.575663,615196.3702,2520.026954,362558.73,4740.336614,4067614.046,0.071288118,0.002964151,0.511122644,0.066852264,89.10290948,-60.46670914,9719.612305,103.4756775,908.3818359,15.37114525,284.9511108,18.43388939,153.5202942,11.70520878,152.9902649,7.701715946,103.8013077,5.089605331,104.7585983,11.72553635,74.66464233,0.417575181,69.13660431,9.491257668,60.83475494,3.751862764,68.07096863,4.73829937,55.63169479,-4.690347672,55.89600372,-0.597244442,46.81351089,-4.521399021,55.78603745,3.253537416,46.67064285,-1.49980855,58.38633728,3.494216204,61.38586807,1.243987799,61.36988831,5.529934883,70.26151276
